02.12 18:02:33.682 | [Ver.1.5] Tue Dec  2 18:02:33 2025 Start egts server
ERROR: Bind (port 9876)
	Signal SIGSEGV
	Signal SIGHUP
	Signal SIGHUP
	Signal SIGHUP
[Ver.1.5] Wed Dec  3 10:35:21 2025 Start egts server
ERROR: Bind (port 9876)
	Signal SIGABRT
[Ver.1.5] Wed Dec  3 10:35:32 2025 Start egts server
ERROR: Bind (port 9876)
	Signal SIGABRT
[Ver.1.5] Wed Dec  3 10:42:07 2025 Start egts server
ERROR: Bind (port 9876)
	Signal SIGABRT
[Ver.1.5] Wed Dec  3 10:43:39 2025 Start egts server
ERROR: Bind (port 9876)
	Signal SIGABRT
[Ver.1.5] Wed Dec  3 10:46:35 2025 Start egts server
ERROR: Bind (port 9876)
	Signal SIGABRT
